author_id,cluster
FFF559CD2875885,3
FFF171657D896FA,0
FFEF1081D4828D2,1
FFEE0B290529BDE,1
FFE6F75290CFE09,6
FFE3C28C3333962,0
FFD69819692B865,0
FFD5BA32F614A43,3
FFCFBD5793B308D,1
FFC2991D6A73DC1,6
FFC25AD61E777EE,3
FFC0EF8EB97403D,0
FFB8B2E63C12257,0
FFB895CEDB9A3C9,4
FFB59013770B612,2
FFB299E5EC96AD9,5
FFAFDD3068F2AD6,0
FFAB3A27F7AC383,0
FFA6201E2024214,3
FFA381096A71EDC,4
FFA1B43C4C9B8F3,6
FF9B2C9454CE457,0
FF9375DEBFFF3CA,0
FF903665A2BDA8B,3
FF900C404166DEC,5
FF8C787F12AA8D1,5
FF8B8DF14D73B8C,3
FF809740A2A088E,1
FF7FCB57AC30199,3
FF7D3EA617388E8,1
FF7992C2D41651C,2
FF782AE4BFA0B50,2
FF66435B539EA0D,0
FF652E5F0A7319C,5
FF6233FE2F34A78,3
FF6106BE71BFA63,0
FF5E443C386DD55,0
FF5C7FEBC014555,0
FF52A2C954635EF,6
FF4FAE77AF7FDE5,0
FF4F623EC7D2E3A,5
FF4DE9D2D5E7077,1
FF4D6F52EF2ED72,3
FF449DA2F0CBF4B,5
FF418149310088D,0
FF3E85FF9E1C214,0
FF3B8CBB05AD62A,0
FF3B4D102C88976,0
FF39E31FF82E490,6
FF35F2575F9D685,3
FF2AD1F9DB52A2E,5
FF2505FF61DFF61,5
FF23932A6858EFC,1
FF20811846C9EF2,3
FF184940F607215,5
FF0B7D043549D5C,3
FF0ACB059174048,2
FF07B76CC82AF6A,2
FF06632F49EB800,5
FEF7522C034A869,0
FEF23806142783D,5
FEE5129BCE0E812,3
FEE08D8BD269202,2
FEDF5B1D80125A7,3
FEDAF457D4AF6ED,2
FEDAE40E3E3EC9B,5
FEDABE9B27C43FE,0
FECD8F9C5E21D7A,2
FECCF84C012194C,2
FECAF839D535AB6,6
FEC9407BA96B212,1
FEC7A41485FA2FB,6
FEC4FB1BF439A37,0
FEC376B7452E730,5
FEBE9256AEF0B00,3
FEBA3E578F9A899,3
FEB9F4D6A87E1A9,6
FEB9DA7FA15022A,5
FEB83AA9A75BD0A,2
FEB795829807BB2,0
FEB5B2EF10BBC1C,3
FEB4EEDF7763EF1,3
FEB35938CB49138,5
FEB07FD718E7FB6,1
FEB07613858A57B,0
FEAED420AB14CB5,0
FEAA538244E72EE,3
FEA973D356CB86F,0
FEA92C2047E2A97,6
FE9F950C2443738,5
FE9613201F5AE1F,3
FE8A548ADBF1CE5,3
FE8A12D22F636BC,3
FE89A4900137860,0
FE899C5A013CDA8,3
FE8830662714FB8,0
FE85647E15F00A4,0
FE81EBE1A85E35A,3
FE80FCD4F166C0B,2
FE80AE40C85A32F,3
FE7B180EC6639BE,3
FE7775C801CFABE,2
FE75B79D364899D,0
FE7564A60A7743E,0
FE7394275036E75,0
FE71127866421D7,4
FE6B9A19AE3E5EC,2
FE68CBDBD13B4C3,3
FE680AEB501891E,1
FE606B4FD387ABE,3
FE5EC104A99E48B,3
FE5B65DC6D71E10,1
FE59962CD6727B1,3
FE56BCCE6C6D9F9,0
FE541788072838C,5
FE54158D4589606,3
FE532AED5E1E44E,5
FE4DFAD411BFF31,4
FE4D17D707D3AC6,0
FE32EC1D7FF6A07,3
FE30F9319BB9627,1
FE2FAE3EF7986DD,5
FE2C6443C343F4C,6
FE29437B2672EDD,4
FE1602D48DB65BE,2
FE14BE02C684638,0
FE1134A534240C5,3
FE0C079642B11D7,3
FE0BBD0AD9DABB7,5
FE0B1D3452DB487,0
FE0AB510342A377,3
FE09F13CCE2CB8E,2
FE07CC1F5B064C0,5
FE07465B04380EF,0
FE044FBA8F45CB2,3
FDFFC1002FDD273,2
FDFD736BB5B4767,0
FDFBF6017C147EE,5
FDF7BAF8F9C85F0,4
FDF7968A62E5978,4
FDF4DC92AF4C10D,3
FDED5DBDAE95725,6
FDEA5F36592ECCD,0
FDE9E00B1A375EF,3
FDE63525E3931F2,0
FDE4C8DCA1220ED,3
FDE381550BF382E,3
FDE2B16DB96DC6F,0
FDE07A18ACFC237,5
FDD846AAA673BD5,0
FDD29F816EBFAEE,5
FDCF9A5B8AE4D23,0
FDC89A190348CE5,3
FDC70323CF125EB,0
FDC45B9F27CBD98,2
FDC3B953C303C99,5
FDC1296A6EF5026,5
FDBD6AEEE137B8D,5
FDBC8FD75F98CF8,0
FDBA7FC26A81C6A,3
FDBA05174A98F26,3
FDB5964878C460F,6
FDB4F9D7791C47B,0
FDAEEDC2CCCA792,3
FDAE11ABD2FFA53,0
FDAD060A8CA5719,3
FDABCD55CF94C9F,2
FDA5F55607B4D86,3
FDA32CB8E0D9098,6
FDA2C7ABB3EACED,5
FD9DF81940EFCC7,0
FD9A216EF180320,1
FD9685A76BB9996,5
FD9418560BCA50A,5
