author_id,cluster
FFFA87613ADA48A,31
5500E857E8C95F8,51
54C6EBDED081E84,43
54CB8C6E3EE75D6,0
54CBAB402184459,22
54CC11D3FF9ACDE,30
54CCD63D01E388D,30
54D11FEAD1FE7FB,14
54D155D05E99C8A,15
54D19BA9F622096,3
54D217BEC200027,0
54D983C21656F18,3
54D9E4EE2E90410,29
54DADC9ED7C329A,17
54DD3789227D398,38
54DFB3C9B78B404,41
54E1FA637A23581,39
54E3058E1E33254,29
54E40B951BB9674,30
54E4B256C7A62D7,24
54E9ABB37FCAFB5,54
54EA688942A76CC,37
54EC53EC903527E,59
54EE5370FEE09C4,30
54EEBF8DFCFF0FC,29
54EFEF4C88E58B6,3
54F0B317D426A01,38
54F3ED2BE333CC0,29
54F6ED0F697E3CB,54
54FC1867BD25D74,29
54FEF3F68003E25,29
54C51219484360C,15
54C4F0963E6CF7F,49
54C347B2C6422D2,30
549F509C18BB94F,6
547E1117A5E3481,25
548368202B35729,29
54869C27384CC1E,20
5487ABD5CB6FDA7,15
5487EFC4A7F6EBF,49
5489A7E71CDF265,6
548B6D339602E8A,16
548BA26947F85BB,12
548D50C174EA7F6,38
5491213520316F2,13
5493ADCC0D0F9E3,21
5493DCFB5A1E9F8,1
54959D0B10A117D,1
54A1B1A00C2841A,53
54C24F4C3ABA1F6,1
54AA5A30C3E6247,8
54AC69E46D2391A,54
54B092E51800130,29
54B2544351A0162,45
54B2A214F03237B,45
54B2A3EB451CD53,37
54B40B88A7CB3C9,24
54B819F07148235,53
54BAEB0B37A3619,39
54BC50BB1E337C4,35
54BD3DA1842A540,3
54BE31FCDB804CE,55
54BE32FB01B5FCA,13
5500085C4C38AEF,10
55028DB2C63A201,3
577A6FC37C36E96,6
55047C0E73AE5A9,53
5544D72DA19D6D9,6
5545DD95304308F,23
554C7F9D9D7239A,15
554DF831B8081D6,12
554E7E53A666537,35
55512C3DD988662,14
5554C45FA448C07,58
55581BFC73DE1CC,3
55593FE41A413CC,31
5559E9A5E14AC21,30
555BCA8662ECA9C,29
5560078FDA0FC17,28
55649735713AF39,29
5569D6E2B06A83D,3
5569FD1287ECE5F,30
556AEC38E25CE2E,29
556D297607321DD,58
556D96822176219,45
556ECA85F170923,10
556FD047DBAA1C3,30
55722B221C300EF,6
557269E2115A033,38
55735645B943316,37
5574EAF42E35CA4,49
55759FBEAE1C914,28
557673C20FF977B,3
5576B1F64996FB6,37
5576E7A240E784F,48
55779A202F0FC3A,1
5543B788AECE83F,6
554254F4DD1FF30,7
554247E47EC1B87,51
5524C7342764F71,23
55052E2D1653CB6,2
5505D054719555A,37
550B4C71B8E8730,4
550CD4F9C66AC2E,46
55129CAAAC62A17,6
55157DBA1C40897,7
5516ABF5E617E72,41
5519B47278D04CD,12
551A9C1C6884493,29
551BE397C96BA8C,51
551D20014D56AA2,51
55222F2AF66C5EB,32
5523554BEEE30D4,49
5528C786E06D0BF,53
5542338B5461A97,30
552950AE586CDE0,39
5529B93F51E13E1,43
552B17B347A01C0,43
552C4EBDAF068EE,15
552D0EC338F0FB7,14
5537B8EB5A97E27,23
55391EF6DD36712,12
5539B3DC5212BC0,34
553A1D7D406BBAA,46
553B2ACE45724B4,9
553DE7DE520373A,26
553EE7DC282AE04,15
55410D1A771402B,29
547C9B3BA854857,31
547B40CD378CA44,5
547946791DC16BE,14
5476C5A438F9FB6,12
53BD2034A7B3F31,31
53BD92944466AC0,1
53BDA3E840A27DD,59
53BF0559A2E8DA1,19
53BFA95CF91DDD1,48
53C3E9A69CDFFEF,38
53C6626622A5F9F,46
53C7DEB0889C9DE,28
53C930F0514F24F,15
53CC2791BFA450B,7
53CC8109042B5F0,14
53CC9E661D9402C,12
53D16004FC459F2,51
53D4165799AE2DE,45
53D56A20550C0EC,33
53D6690DC744B97,2
53D981B673FED19,13
53DA1EA8E412594,22
53DFDC1EF68126E,19
53E04090C82189E,52
53E0ED5DF870AFA,15
53E3074941AC092,30
53E5E87519332FD,39
53E8C9BB9627AF3,0
53E9067EA0D40D2,30
53E921BC477057E,31
53EA4714169C4D2,48
53EEBEA680B6F9F,28
53EEFD58450DA59,4
53BBC5167D338CA,6
53BAFB8F3037209,1
53BADB2932C858B,17
53A3E1002F09A81,3
5397397394538AC,41
5398A129BA87D5C,35
53997011D88A02A,2
5399BAE5998E38C,5
539A5BD99F523A5,29
539ABA16158628A,39
539BB051EFAA2EF,11
539CDB21F54EC64,30
539E1F1BACBFCFC,19
539EE90A3E0B6A5,3
53A0E5D76ADBBFA,17
53A1A5E5CF662AB,23
53A1FBDD19E3AC0,6
53A4C6F442F3FF3,35
53B859B6EF1265F,27
53A83FD2AA616D5,18
53A9A7D6934B598,6
53A9DF3EDD9D864,17
53AB7F6BFB91A28,48
53AB97F46353BF9,15
53AC44C6A729FA1,52
53AD7741E400CD0,8
53AE9343055E6BA,3
53AEFA3BB0EC51D,57
53B2710E44166A6,24
53B36D60F1A1AD0,52
53B390C97E9DF10,15
53B573843573D50,3
53F119DBC4466C0,53
53F32DDF682317B,6
53F360544FBBEC4,30
545CA84E9301AB2,16
54464D9EB2E0A29,14
5448754B37CC704,6
5449E12841ECF2B,42
544DAAD4E7CBDDD,33
544DB85E1C39F46,30
54506EC095656D4,8
54513D3705EA9B7,51
5452F591E75524F,12
5453E88AC9069E7,26
54546356D89EDFB,35
5454CDE2DEFB5A8,59
5456800173FCF2B,28
5457505D0FC9D70,17
546029948CED42A,2
54440FF6A29476B,41
54618353296A897,47
5461ADF6FAC29CC,14
5461CD269431AAA,11
546418E6C1FB825,38
54657935FA63652,56
5465A43FCA96EFE,46
5465AFE75989029,16
5466A22E36A16CB,26
5469FFD4DCFCBBA,31
546A37D9D03B339,29
546A9AEABC34F09,15
5475372E064D061,28
54765DABBC1167F,41
5445F2F3CF20473,12
54433E8A285387C,33
53F36FBDFD00FA9,58
54293DF281CE9E1,10
53F4BB9E19CDEF2,49
53F55F38E8ECDA2,34
53F8B3C9E95D676,38
53FA582E39B9B9A,29
53FA86BCAACC4F0,11
53FE8E780BD6EC5,41
54052D3D94EB107,57
